date,customer_request,agent_reply,topic,topic_probability,theme
2023-09-25,Software absturz! Version 3.2.  CNCF-500,"Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Bitte laden Sie die neueste Softwareversion (3.3) von unserer Website herunter und installieren Sie diese.  Sollte das Problem weiterhin bestehen, kontaktieren Sie uns bitte erneut.",1,1.0,Software & IT
2023-10-07,"Wartungsintervalle DM-500, ich finde das nicht!","Sehr geehrte Damen und Herren, die Wartungsintervalle für die DM-500 finden Sie im Handbuch im Downloadbereich unserer Website. Dort ist auch eine detaillierte Checkliste verfügbar.",13,1.0,Wartung & Service
2023-10-21,Maschine defekt innerhalb der Garantiezeit. Typ: SCS-100,"Sehr geehrte Damen und Herren, bitte teilen Sie uns die Seriennummer und das Kaufdatum Ihrer SCS-100 mit. Beschreiben Sie außerdem den Defekt so genau wie möglich. Wir prüfen dann die Garantiebedingungen.",3,0.33404464855939675,Garantie & Reklamation
2023-01-15,"Hallo, ich habe am 10.01. bestellt (Bestellnr. 2023-0012) und noch keine Versandbestätigung erhalten. Können Sie bitte nachschauen?","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Wir prüfen umgehend den Status Ihrer Bestellung 2023-0012 und informieren Sie innerhalb von 24 Stunden über den aktuellen Stand. Bitte beachten Sie, dass es bei hoher Auftragslage zu Verzögerungen kommen kann.",10,0.16238784368792208,Lieferung & Bestellung
2023-01-22,"Wo bleibt meine Maschine? Bestellnummer 2023-0035, DM-500. Sollte doch schon längst da sein.","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Nachricht. Wir überprüfen den Versandstatus Ihrer DM-500 (Bestellnummer 2023-0035) und senden Ihnen eine Trackingnummer zu. Bitte erlauben Sie uns eine kurze Recherche.",6,1.0,Lieferung & Bestellung
2023-02-05,"Ich benötige ein Ersatzteil für meine FSL-300. Es handelt sich um die Spindel, Artikelnummer 4711-001. Wie lange dauert die Lieferung und was kostet das?","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Die Lieferzeit für die Spindel (Artikelnummer 4711-001) beträgt in der Regel 3-5 Werktage. Ein Angebot erstellen wir Ihnen gerne individuell. Bitte teilen Sie uns Ihre Lieferadresse und eventuell Ihre Kundennummer mit.",2,1.0,Lieferung & Bestellung
2023-02-18,Hat jemand eine Ahnung wie lange ich auf ein Ersatzteil für die SCS-100 warten muss? Brauche dringend einen neuen Sensor.,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Um die Lieferzeit für den Sensor für Ihre SCS-100 genauer einschätzen zu können, benötigen wir bitte die genaue Artikelnummer des Sensors. Diese finden Sie im Ersatzteilkatalog oder auf dem Typenschild des Geräts.",-1,0.0,Lieferung & Bestellung
2023-03-10,Meine CNCF-500 zeigt eine Übertemperaturwarnung an. Was kann ich tun?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Eine Übertemperaturwarnung kann verschiedene Ursachen haben. Bitte überprüfen Sie zunächst die Kühlmittelstände und die Lüftungsschlitze. Im Handbuch im Downloadbereich finden Sie eine detaillierte Anleitung zur Fehlerbehebung.",5,1.0,Sonstiges
2023-03-25,Die Maschine (SNU-200) meldet einen Fehler: 'Druck zu niedrig'. Was bedeutet das?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Der Fehler 'Druck zu niedrig' deutet auf ein Problem im Hydrauliksystem hin. Bitte überprüfen Sie die Hydraulikflüssigkeitsstände und die Leitungen auf Undichtigkeiten. Im Bedarfsfall kontaktieren Sie unseren technischen Support.",4,0.07057177887088026,Ersatzteile & Technik
2023-04-01,"Die Software stürzt ständig ab, wenn ich eine DXF-Datei importieren will.","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Softwareabstürze beim DXF-Import können durch inkompatible Dateiformate oder veraltete Softwareversionen verursacht werden. Bitte teilen Sie uns Ihre Softwareversion mit und prüfen Sie, ob Sie die aktuellste Version installiert haben.",7,1.0,Software & IT
2023-04-15,Ich kann die Lizenz für die Software nicht aktivieren. Es kommt immer eine Fehlermeldung.,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bitte stellen Sie sicher, dass Sie die korrekte Lizenznummer eingegeben haben. Falls das Problem weiterhin besteht, kontaktieren Sie bitte unseren technischen Support mit Angabe der Fehlermeldung und Ihrer Kundennummer.",1,0.8302507612230878,Software & IT
2023-05-08,Wann muss ich die DM-500 das nächste Mal warten lassen?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Die DM-500 hat in der Regel ein Wartungsintervall von 6 Monaten oder 2000 Betriebsstunden, je nachdem, was zuerst eintritt. Im Handbuch finden Sie den detaillierten Wartungsplan.",9,0.37215609549490947,Wartung & Service
2023-05-22,Benötige Spezialwerkzeug für Wartung HP-150. Woher bekomme ich das?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Das benötigte Spezialwerkzeug für die Wartung der HP-150 kann über unseren Online-Shop oder direkt über unseren Service bestellen werden. Die Artikelnummern finden Sie im Wartungsplan im Handbuch.",12,1.0,Wartung & Service
2023-06-03,Meine Maschine (Bestellnr. 2022-1150) ist defekt. Ist die noch Garantie?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Um zu prüfen, ob Ihre Maschine noch unter Garantie steht, benötigen wir bitte die Seriennummer der Maschine. Bitte teilen Sie uns diese mit.",14,0.5110010163379218,Garantie & Reklamation
2023-06-17,"Ich habe ein Problem mit der Maschine, sie ist innerhalb der Garantiezeit kaputt gegangen.","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bitte beschreiben Sie das Problem so detailliert wie möglich. Nennen Sie uns auch die Seriennummer und das Kaufdatum der Maschine, um die Garantiebedingungen zu prüfen.",14,1.0,Garantie & Reklamation
2023-07-01,Ich bräuchte eine Schulung für die neue FSL-300.,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Wir bieten regelmäßige Schulungen für die FSL-300 an. Informationen zu Terminen und Inhalten finden Sie auf unserer Website im Bereich Schulungen oder kontaktieren Sie unseren Vertrieb.",0,1.0,Schulung & Inbetriebnahme
2023-07-15,Wie lange dauert die Inbetriebnahme einer CNCF-500?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Die Inbetriebnahme einer CNCF-500 dauert in der Regel 1-2 Tage, abhängig von den individuellen Anforderungen und dem Vorhandensein der erforderlichen Infrastruktur.",13,1.0,Wartung & Service
2023-08-22,Keine Ahnung ob meine Bestellung angekommen ist...Nr. 2023-0178,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Wir prüfen umgehend den Status Ihrer Bestellung 2023-0178 und informieren Sie innerhalb von 24 Stunden.",11,1.0,Lieferung & Bestellung
2023-09-05,Ich benötige dringend Ersatzteile für SCS-100. Welche sind verfügbar?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bitte teilen Sie uns die genaue Artikelnummer oder eine detaillierte Beschreibung der benötigten Ersatzteile für die SCS-100 mit. Dann können wir die Verfügbarkeit prüfen.",2,0.11666461031513493,Lieferung & Bestellung
2023-10-12,"Übertemperatur bei DM-500. Lüfter läuft, trotzdem Warnung.","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bitte prüfen Sie, ob der Kühlkreislauf ordnungsgemäß funktioniert und keine Verstopfungen vorhanden sind. Eventuell liegt ein Defekt am Temperaturfühler vor. Im Handbuch finden Sie weitere Informationen.",5,1.0,Sonstiges
2023-11-01,Software stürzt ab beim öffnen alter dateien. Version 3.2.,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bei älteren Dateiformaten kann es zu Kompatibilitätsproblemen mit Version 3.2 kommen. Versuchen Sie, die Datei in einer älteren Softwareversion zu öffnen oder zu konvertieren.",1,1.0,Software & IT
2023-11-18,Wartungsplan SNU-200. Wo finde ich den?,"Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Den Wartungsplan für die SNU-200 finden Sie im Handbuch im Downloadbereich unserer Website. Dort können Sie das Handbuch auch herunterladen.",-1,0.0,Lieferung & Bestellung
2023-12-08,"Maschine defekt, Garantiezeit noch nicht abgelaufen.","Sehr geehrte Damen und Herren,

vielen Dank für Ihre Anfrage. Bitte teilen Sie uns die Seriennummer und das Kaufdatum der Maschine mit, damit wir die Garantiebedingungen prüfen können. Beschreiben Sie außerdem das Problem so detailliert wie möglich.",3,1.0,Garantie & Reklamation
2023-01-15,"Hallo, ich habe am 10.01.2023 eine DM-500 bestellt. Bisher keine Versandbestätigung erhalten. Können Sie bitte prüfen, wo meine Bestellung ist?","Guten Tag, vielen Dank für Ihre Anfrage. Wir prüfen gerne den Status Ihrer Bestellung. Bitte geben Sie uns Ihre Bestellnummer an, damit wir die Sendung für Sie nachverfolgen können.",10,1.0,Lieferung & Bestellung
2023-01-22,Wo bleibt meine Lieferung? Bestellnummer 20230110-01.  Ich brauche die Maschine dringend!,"Guten Tag, wir verstehen Ihre Dringlichkeit. Wir prüfen den aktuellen Stand Ihrer Bestellung mit der Nummer 20230110-01 und informieren Sie umgehend über den voraussichtlichen Liefertermin.",6,1.0,Lieferung & Bestellung
2023-02-03,Ich benötige Ersatzteile für meine FSL-300. Konkret geht es um den Motor (Artikelnummer 123456) und den Sensor (Artikelnummer 789012). Wie lange dauert die Lieferung?,"Guten Tag, vielen Dank für Ihre Anfrage. Wir prüfen die Verfügbarkeit der genannten Ersatzteile und teilen Ihnen die Lieferzeit mit. Bitte geben Sie uns die Seriennummer Ihrer FSL-300 an, um sicherzustellen, dass wir die korrekten Teile liefern.",2,1.0,Lieferung & Bestellung
2023-02-18,"Hallo, ich brauche dringend ein Angebot für Ersatzteile für die SNU-200. Der Spindelmotor ist defekt.","Guten Tag, wir erstellen Ihnen gerne ein Angebot für einen Spindelmotor für Ihre SNU-200. Bitte teilen Sie uns die Seriennummer der Maschine mit, damit wir das passende Ersatzteil identifizieren können.",2,0.345650621957874,Lieferung & Bestellung
2023-03-01,Die CNCF-500 zeigt eine Warnung 'Übertemperatur Spindel'. Was bedeutet das?,"Guten Tag, die Warnung 'Übertemperatur Spindel' deutet darauf hin, dass die Spindel eine zu hohe Betriebstemperatur erreicht hat. Bitte prüfen Sie, ob die Kühlung ausreichend funktioniert und ob die Spindel überlastet ist. Informationen zu möglichen Ursachen und Behebung finden Sie im Handbuch.",5,0.4458199554440954,Sonstiges
2023-03-12,Meine SCS-100 meldet einen Fehler: 'Druck zu niedrig Hydraulik'.,"Guten Tag, der Fehler 'Druck zu niedrig Hydraulik' kann verschiedene Ursachen haben. Bitte prüfen Sie den Ölstand und ob die Hydraulikpumpe korrekt funktioniert.  Detaillierte Informationen zur Fehlerbehebung finden Sie im Handbuch im Downloadbereich.",4,0.1452813633274099,Ersatzteile & Technik
2023-04-05,Die Software stürzt ständig ab. (Version 2.5).,"Guten Tag, vielen Dank für Ihre Meldung. Um das Problem zu untersuchen, benötigen wir bitte mehr Informationen.  Welche Aktion führen Sie genau aus, wenn der Absturz passiert?  Bitte teilen Sie uns auch Ihre Betriebssystemversion mit.",1,1.0,Software & IT
2023-04-21,Ich kann keine DXF-Dateien mehr importieren.  Fehlermeldung 'Ungültiges Format'.,"Guten Tag, bitte stellen Sie sicher, dass die DXF-Datei das korrekte Format aufweist (z.B. R12 oder R14).  Prüfen Sie außerdem, ob Ihre Software auf dem neuesten Stand ist.  Informationen zum DXF-Import finden Sie in der Online-Hilfe.",7,0.22638444918517356,Software & IT
2023-05-08,Wann ist die nächste Wartung für die DM-500 fällig? Die letzte war vor 6 Monaten.,"Guten Tag, das Wartungsintervall für die DM-500 beträgt standardmäßig 12 Monate oder 500 Betriebsstunden, je nachdem, was zuerst eintritt. Bitte prüfen Sie Ihren Wartungsplan oder die Betriebsstunden der Maschine.",9,1.0,Wartung & Service
2023-05-25,Brauche Spezialwerkzeug für Wartung HP-150. Wo kann ich das bekommen?,"Guten Tag, das benötigte Spezialwerkzeug für die Wartung der HP-150 können Sie über unseren Online-Shop oder direkt über unseren Vertrieb bestellen. Eine Liste der benötigten Werkzeuge finden Sie im Wartungshandbuch.",12,1.0,Wartung & Service
2023-06-10,Die Maschine ist innerhalb der Garantiezeit defekt. Was muss ich tun?,"Guten Tag, bitte kontaktieren Sie unseren Kundenservice umgehend und schildern Sie den Defekt.  Wir benötigen die Seriennummer der Maschine und den Kaufbeleg, um die Garantiebedingungen zu prüfen.",14,1.0,Garantie & Reklamation
2023-06-28,"Reklamation: SCS-100 defekt, gekauft am 01.03.2023","Guten Tag, wir nehmen Ihre Reklamation entgegen. Bitte senden Sie uns ein detailliertes Fehlerprotokoll und Fotos/Videos des Defekts zu.  Wir werden die Reklamation prüfen und uns umgehend mit Ihnen in Verbindung setzen.",3,0.35859479342321504,Garantie & Reklamation
2023-07-15,Ich benötige eine Schulung für die Bedienung der FSL-300.,"Guten Tag, wir bieten regelmäßige Schulungen für die FSL-300 an.  Die aktuellen Termine und Preise finden Sie auf unserer Webseite unter 'Schulungen' oder Sie kontaktieren uns direkt für ein individuelles Angebot.",0,1.0,Schulung & Inbetriebnahme
2023-07-29,Bestellnummer fehlt.  Wann kommt die SNU-200?,"Guten Tag, wir benötigen Ihre Bestellnummer, um den Status Ihrer Bestellung zu überprüfen. Bitte teilen Sie uns diese mit.",9,1.0,Wartung & Service
2023-08-05,Softwareabsturz + Lieferstatus DM-500. Bestellnr: 20230801-01,"Guten Tag, wir prüfen gerne den Status Ihrer Bestellung 20230801-01 und untersuchen das Softwareproblem. Bitte beschreiben Sie die Umstände des Softwareabsturzes genauer.",1,1.0,Software & IT
2023-09-12,CNCF-500: Fehler Hydraulik.  Was kann ich tun?,"Guten Tag, der Fehler 'Hydraulik' kann verschiedene Ursachen haben. Bitte prüfen Sie zuerst den Ölstand und die Schläuche auf Beschädigungen.  Detaillierte Anweisungen finden Sie im Handbuch.",4,0.16858658517201833,Ersatzteile & Technik
2023-10-01,Ersatzteil Anfrage. Artikelnummer 987654 für SCS-100. Wie lange Lieferzeit?,"Guten Tag, wir prüfen die Verfügbarkeit des Ersatzteils 987654 für die SCS-100 und informieren Sie über die Lieferzeit.  Bitte geben Sie uns die Seriennummer Ihrer Maschine an.",2,1.0,Lieferung & Bestellung
2023-11-18,Softwareupdate verfügbar?  Welche Version ist aktuell?,"Guten Tag, die aktuelle Softwareversion für Ihre Maschine finden Sie im Downloadbereich unserer Webseite. Dort können Sie auch das neueste Update herunterladen.",1,0.8824189533121252,Software & IT
2023-12-02,DM-500 Lieferverzug. Ich brauche die Maschine bis Weihnachten!,"Guten Tag, wir verstehen Ihre Anfrage. Wir prüfen den Status Ihrer Bestellung und versuchen, die Lieferung bis Weihnachten zu realisieren.  Bitte haben Sie Verständnis, dass dies möglicherweise nicht immer möglich ist.",6,1.0,Lieferung & Bestellung
2023-12-20,Garantie HP-150.  Seriennummer: XYZ12345. Defekt.,"Guten Tag, wir prüfen Ihre Garantieansprüche für die HP-150 mit der Seriennummer XYZ12345. Bitte beschreiben Sie den Defekt so detailliert wie möglich.",3,0.316569151471853,Garantie & Reklamation
2023-01-15,"Hallo, ich habe am 02.01.2023 eine DM-500 bestellt, aber noch keine Versandbestätigung erhalten. Bestellnummer 20230102-01. Können Sie bitte prüfen, wo meine Bestellung bleibt?","Sehr geehrte Damen und Herren,
vielen Dank für Ihre Anfrage. Wir prüfen umgehend den Status Ihrer Bestellung mit der Bestellnummer 20230102-01. Bitte geben Sie uns einen Moment Zeit. Sie erhalten in Kürze eine Rückmeldung per E-Mail.  Sollten Sie die Rückmeldung nicht innerhalb von 24 Stunden erhalten, kontaktieren Sie uns bitte erneut.",10,1.0,Lieferung & Bestellung
2023-01-22,"Guten Tag, wann kommt meine DM-500? Ich warte schon ewig!","Sehr geehrte Damen und Herren,
vielen Dank für Ihre Anfrage. Um den Status Ihrer Bestellung zu prüfen, benötigen wir bitte Ihre Bestellnummer. Könnten Sie uns diese mitteilen? Sobald wir diese haben, können wir Ihnen Auskunft zum Liefertermin geben.",9,1.0,Wartung & Service
2023-02-05,Ich brauche dringend ein Ersatzteil für meine FSL-300. Die Spindel ist defekt. Artikelnummer: 4711-FSL-SPIN. Können Sie mir ein Angebot zukommen lassen?,"Sehr geehrte Damen und Herren,
vielen Dank für Ihre Anfrage. Gerne erstellen wir Ihnen ein Angebot für die Spindel (Artikelnummer 4711-FSL-SPIN) für Ihre FSL-300.  Bitte teilen Sie uns die Seriennummer Ihrer Maschine mit, um sicherzustellen, dass wir das korrekte Ersatzteil liefern. Die voraussichtliche Lieferzeit beträgt 5-7 Werktage nach Auftragseingang.",2,0.47588533699569213,Lieferung & Bestellung
2023-02-18,Wo finde ich die Ersatzteiliste für die SCS-100?,"Sehr geehrte Damen und Herren,
die Ersatzteiliste für die SCS-100 finden Sie im Downloadbereich auf unserer Webseite unter [URL entfernt]. Alternativ können Sie uns die Seriennummer Ihrer SCS-100 nennen, und wir senden Ihnen die Liste direkt zu.",12,1.0,Wartung & Service
2023-03-10,Meine CNCF-500 zeigt eine Übertemperaturwarnung an. Was bedeutet das?,"Sehr geehrte Damen und Herren,
eine Übertemperaturwarnung an Ihrer CNCF-500 deutet darauf hin, dass ein Kühlkreislauf möglicherweise nicht ordnungsgemäß funktioniert oder eine Komponente überlastet ist. Bitte prüfen Sie zunächst den Kühlmittelstand und die Funktion der Kühlpumpe.  Sollte das Problem weiterhin bestehen, notieren Sie sich bitte die genaue Fehlermeldung und die Bedingungen, unter denen sie auftritt, und teilen Sie uns diese mit.",5,0.4442156080718059,Sonstiges
2023-03-25,Die Maschine (SNU-200) meldet Fehler F201. Was ist das?,"Sehr geehrte Damen und Herren,
der Fehlercode F201 bei der SNU-200 deutet auf ein Problem mit dem Drucksensor hin. Bitte überprüfen Sie die Anschlüsse des Sensors und stellen Sie sicher, dass keine Verstopfungen vorliegen. Informationen zur Fehlerbehebung finden Sie im Handbuch im Downloadbereich. Sollte das Problem weiterhin bestehen, kontaktieren Sie uns bitte mit der Seriennummer Ihrer Maschine.",8,0.38821622929388205,Ersatzteile & Technik
2023-04-08,"Die Software stürzt immer ab, wenn ich eine DXF-Datei importiere. Ich verwende Version 2.5.","Sehr geehrte Damen und Herren,
vielen Dank für Ihre Meldung. Ein Absturz beim DXF-Import mit Version 2.5 kann verschiedene Ursachen haben. Bitte stellen Sie sicher, dass die DXF-Datei den unterstützten Standards entspricht und nicht beschädigt ist. Versuchen Sie außerdem, die Software neu zu starten. Sollte das Problem weiterhin bestehen, laden Sie bitte die neueste Version (2.6) von unserer Webseite herunter.  Falls das Problem dann immer noch auftritt, teilen Sie uns dies bitte mit.",7,1.0,Software & IT
2023-04-19,Ich kann meine Lizenz für die Software nicht aktivieren.,"Sehr geehrte Damen und Herren,
Bitte stellen Sie sicher, dass Sie die korrekte Lizenznummer verwenden und dass Ihr Computer eine Internetverbindung hat. Überprüfen Sie außerdem, ob die Software auf Ihrem System kompatibel ist.  Sollten Sie weiterhin Probleme haben, teilen Sie uns bitte Ihre Lizenznummer und die Fehlermeldung mit.",1,0.7756645821601978,Software & IT
2023-05-02,Wann muss ich die DM-500 warten lassen?,"Sehr geehrte Damen und Herren,
Die DM-500 sollte gemäß Wartungsplan alle 6 Monate oder nach 500 Betriebsstunden gewartet werden, je nachdem, was zuerst eintritt. Details zu den Wartungsintervallen und den erforderlichen Maßnahmen finden Sie im Handbuch.  Sollten Sie eine Wartung durch uns beauftragen möchten, kontaktieren Sie uns bitte.",9,0.3545561703101462,Wartung & Service
2023-05-15,Welche Spezialwerkzeuge benötige ich für die Wartung der FSL-300?,"Sehr geehrte Damen und Herren,
Für die Wartung der FSL-300 benötigen Sie unter anderem einen Drehmomentschlüssel, einen Satz Inbusschlüssel und ein Multimeter. Eine vollständige Liste der benötigten Werkzeuge finden Sie im Wartungshandbuch der FSL-300.",12,1.0,Wartung & Service
2023-06-01,Ich habe die DM-500 vor 2 Monaten gekauft und sie ist jetzt defekt. Was kann ich tun?,"Sehr geehrte Damen und Herren,
Da Ihre DM-500 noch innerhalb der Garantiezeit liegt, können Sie einen Garantieanspruch stellen. Bitte füllen Sie das Reklamationsformular auf unserer Webseite aus und senden Sie uns die Maschine zusammen mit einer Kopie des Kaufbelegs zu. Wir werden den Defekt prüfen und uns um eine Reparatur oder einen Austausch kümmern.",-1,0.0,Lieferung & Bestellung
2023-06-20,"Die SCS-100 hat einen Defekt. Können Sie mir sagen, wie die Garantieabwicklung funktioniert?","Sehr geehrte Damen und Herren,
für die Garantieabwicklung der SCS-100 benötigen wir die Seriennummer der Maschine, eine genaue Beschreibung des Defekts und eine Kopie des Kaufbelegs. Bitte senden Sie uns diese Informationen zu. Wir werden dann die weiteren Schritte mit Ihnen besprechen.",3,0.12835148047729086,Garantie & Reklamation
