row_id,date,customer_request,agent_reply,intent_truth,intent,confidence
31,2024-01-14,"Hallo, ich brauche mal ein Update zu meiner CNCF-500. Ist die schon auf dem Lkw? Keine Info bekommen.","Guten Tag, ich prüfe den Versandstatus Ihrer CNCF-500 sehr gerne. Bitte senden Sie uns kurz Ihre Bestellnummer zu, damit wir den aktuellen Status im Versandzentrum abrufen können. Vielen Dank.",Lieferstatus,Lieferstatus,1
32,2024-01-15,"Hallo Support-Team, ich habe bezüglich der Bestellung Nr. 44502 (Modell SNU-200) eine Frage. Wir haben noch keine Versandinfo bekommen. Ist das Gerät schon unterwegs?",Guten Tag. Vielen Dank für Ihre Anfrage. Ich habe den Status der SNU-200 (Bestell-Nr. 44502) nachgesehen. Die Maschine wurde bereits verpackt und wartet auf die Abholung durch unseren Logistikpartner. Sie sollten die Versandbestätigung im Laufe des heutigen Arbeitstages erhalten.,Lieferstatus,Lieferstatus,1
33,2024-01-16,Brauche Angebot für Ersatzteil DM-500. Lagernd?,"Guten Tag, um Ihre Anfrage bearbeiten zu können, benötigen wir bitte die genaue Bezeichnung oder die Artikelnummer des benötigten Teils für die DM-500. Sobald uns diese vorliegt, prüfen wir sofort die aktuelle Verfügbarkeit und die voraussichtliche Lieferzeit für Sie.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
34,2024-01-16,Haben Sie Ersatzteile für die CNCF-500? Brauche ein Angebot für ein Set Schrauben und Muttern.,"Guten Tag, wir führen ein breites Sortiment an Ersatzteilen für die CNCF-500. Damit wir Ihnen das passende Set anbieten können, benötigen wir bitte die genaue Bezeichnung der Schrauben/Muttern oder die entsprechende Artikelnummer aus dem Handbuch im Downloadbereich. Sobald uns diese Informationen vorliegen, erstellen wir Ihnen gerne ein Angebot.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
35,2024-01-16,"Sehr geehrte Damen und Herren, im Rahmen einer Wartung an unserer FSL-300 haben wir festgestellt, dass die Führungsschienen verschlissen sind. Bitte senden Sie uns ein Angebot über die entsprechenden Ersatzteile sowie Informationen zur Lieferfrist.","Guten Tag, vielen Dank für Ihre Nachricht. Um Ihnen ein Angebot für die passenden Führungsschienen erstellen zu können, benötigen wir bitte die Seriennummer Ihrer FSL-300 sowie die genaue Ausführung der Maschine. Nach Erhalt der Daten prüfen wir die Verfügbarkeit und senden Ihnen das Angebot inklusive Lieferzeit zu.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,0.9
36,2024-01-17,CNCF-500 Reparatur. Teil fehlt. Was kostet das und wann kommt das?,"Guten Tag. Damit wir Ihnen weiterhelfen können, benötigen wir Informationen darüber, welches Teil genau fehlt. Bitte nennen Sie uns die Artikelnummer oder die Bezeichnung des Bauteils sowie die Seriennummer Ihrer CNCF-500.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,0.8
37,2024-01-17,"Sehr geehrte Damen und Herren, für unsere CNCF-500 benötigen wir dringend einen neuen Antriebsriemen. Können Sie uns hierzu ein unverbindliches Angebot erstellen? Die Seriennummer der Maschine lautet ENDI-99283-X.","Guten Tag. Vielen Dank für Ihre Anfrage. Gerne erstellen wir Ihnen ein Angebot für den passenden Antriebsriemen zur CNCF-500. Um die exakte Spezifikation zu prüfen, benötigen wir bitte noch die Typenbezeichnung des Motors oder die Artikelnummer des alten Riemens, falls diese noch vorliegt. Sobald uns diese Information vorliegt, senden wir Ihnen das Angebot umgehend zu.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
38,2024-01-17,"Sehr geehrte Damen und Herren, wir benötigen für unsere DM-500 Anlage dringend einen neuen Antriebsriemen. Können Sie uns hierzu ein unverbindliches Angebot zukommen lassen? Die Seriennummer der Maschine lautet ENDI-99283-X.","Sehr geehrte Damen und Herren, vielen Dank für Ihre Anfrage. Gerne erstellen wir Ihnen ein Angebot für den passenden Antriebsriemen Ihrer DM-500. Um die exakte Spezifikation sicherzustellen, benötigen wir bitte noch die Artikelnummer des alten Riemens oder ein Foto des Typenschilds der Antriebseinheit. Sobald uns diese Information vorliegt, senden wir Ihnen das Angebot umgehend zu.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
39,2024-01-17,Haben Sie Infos zu neuen Messen? Würden gerne mal wieder vorbeikommen.,"Guten Tag, vielen Dank für Ihr Interesse. Informationen zu unseren Standplätzen auf internationalen Fachmessen finden Sie regelmäßig in unserem Newsletter sowie im Downloadbereich unserer Webseite. Wir freuen uns, Sie dort begrüßen zu dürfen.",Sonstiges,Sonstiges,1
40,2024-01-18,"Sehr geehrte Damen und Herren, an unserer DM-500 tritt seit heute Morgen eine Warnung bezüglich der Spindeltemperatur auf. Die Maschine stoppt nach ca. 20 Minuten Betrieb. Bitte um Unterstützung.","Guten Tag. Dass die DM-500 vorzeitig stoppt, ist ärgerlich. Bitte prüfen Sie als ersten Schritt, ob die Kühlmittelzufuhr zur Spindel frei ist und die Filter nicht verstopft sind. Um den Fehler genauer eingrenzen zu können, benötigen wir zudem die Seriennummer Ihrer Maschine sowie den exakten Fehlercode aus dem Display.",Technische Fehlermeldung,Technische Fehlermeldung,1
41,2024-01-19,Hydraulik-Warnung bei HP-150 (Bestell-Nr: 55012). Druck zu niedrig. Bitte Rückmeldung.,"Guten Tag. Bei einer Warnung über niedrigen Hydraulikdruck an der HP-150 sollten Sie die Dichtungen und Leitungen auf Leckagen untersuchen. Bitte teilen Sie uns zudem die Seriennummer der Maschine mit, damit wir die korrekten Spezifikationen für Ihr Modell abrufen können.",Technische Fehlermeldung,Technische Fehlermeldung,1
42,2024-01-19,"Die HP-150 läuft nicht mehr. Übertemperatur Warnung. Das ist echt nervig, wir haben einen engen Lieferplan!","Guten Tag. Wir verstehen den Zeitdruck in Ihrer Produktion. Bitte fahren Sie die Maschine sofort herunter, um Folgeschäden zu vermeiden. Prüfen Sie die Umgebungstemperatur und die Funktion der internen Kühlaggregate. Bitte senden Sie uns zur weiteren Analyse die Seriennummer der HP-150 und das Fehlerprotokoll aus dem Logbuch.",Technische Fehlermeldung,Technische Fehlermeldung,0.95
43,2024-01-20,Haben Sie Spezialwerkzeug für die FSL-300? Brauchen dringend was für die nächste Revision. Artikelnummer bitte angeben.,"Guten Tag, ja, wir führen spezialisierte Wartungssätze für die FSL-300. Die entsprechende Artikelnummer für das Standard-Wartungskit finden Sie in der technischen Dokumentation im Downloadbereich. Alternativ können wir Ihnen nach Nennung Ihrer Seriennummer ein individuelles Angebot erstellen.",Wartung,Ersatzteil-Anfrage,0.9
44,2024-01-21,Fehler SCS-100: Spindel läuft unruhig und Warnung erscheint. Bitte prüfen.,"Guten Tag. Bitte prüfen Sie zuerst die Schmierung der Spindellager und kontrollieren Sie, ob Fremdkörper in der Spindelaufnahme vorhanden sind. Für eine genauere Fehleranalyse benötigen wir die Seriennummer der SCS-100 sowie die exakte Fehlermeldung des Bedienpanels.",Technische Fehlermeldung,Technische Fehlermeldung,1
45,2024-01-21,"Sehr geehrte Damen und Herren, wir haben aktuell ein Problem mit unserer DM-500. Das Display zeigt permanent eine Warnung bezüglich der Übertemperatur an. Können Sie uns hier weiterhelfen?","Guten Tag. Für eine präzise Diagnose benötigen wir bitte die Seriennummer Ihrer DM-500 sowie den genauen Fehlercode, der auf dem Display erscheint. Bitte prüfen Sie vorab, ob die Lüftungsschlitze frei sind und die Umgebungstemperatur innerhalb der Spezifikationen liegt. Weitere Details finden Sie im Handbuch im Downloadbereich.",Technische Fehlermeldung,Technische Fehlermeldung,1
46,2024-01-22,Wartungsplan für CNCF-500 fehlt. Schickt mal rüber.,"Guten Tag, gerne senden wir Ihnen den Wartungsplan zu. Damit wir die Dokumentation der korrekten Maschinenversion zuordnen können, benötigen wir bitte die Seriennummer Ihres Geräts.",Wartung,Wartung,0.95
47,2024-01-23,Status SNU-200???,"Guten Tag. Um Ihnen eine Auskunft zum Status der SNU-200 geben zu können, benötigen wir bitte die zugehörige Bestellnummer oder die Kundennummer. Vielen Dank.",Lieferstatus,Lieferstatus,0.8
48,2024-01-23,"Hallo, wir haben Probleme mit der Hydraulik an der SNU-200. Es kommt ständig eine Warnmeldung, aber ich weiß nicht genau, was sie bedeutet. Die Maschine steht still.","Guten Tag. Dass die Maschine stillsteht, ist natürlich ärgerlich. Damit wir die Hydraulikwarnung analysieren können, benötigen wir bitte die genaue Fehlermeldung (idealerweise ein Foto des Displays) sowie die Seriennummer der SNU-200. Bitte prüfen Sie vorab den Hydraulikölstand im Ausgleichsbehälter.",Technische Fehlermeldung,Technische Fehlermeldung,0.95
49,2024-01-23,"Guten Tag, wir haben ein Problem mit der SCS-100. Die Sensorik reagiert nicht mehr korrekt. Ist das ein Garantiefall? Die Maschine wurde vor knapp einem Jahr gekauft.","Guten Tag. Ob ein Garantiefall vorliegt, hängt von der Art des Defekts und den Garantiebedingungen ab. Bitte senden Sie uns die Seriennummer der SCS-100 und beschreiben Sie uns, wie sich der Sensorfehler äußert. Wir prüfen dies dann umgehend für Sie.",Garantie-Reklamation,Garantie-Reklamation,0.9
50,2024-01-24,"Sehr geehrte Damen und Herren, bezüglich unserer Bestellung der SCS-100 vom letzten Monat müssen wir feststellen, dass der Liefertermin bereits überschritten ist. Wir bitten um eine verbindliche Auskunft über den Verbleib der Ware.","Guten Tag. Wir bedauern die entstandene Verzögerung bei der SCS-100. Bitte nennen Sie uns Ihre Bestellnummer, damit wir den aktuellen Standort der Maschine sowie den neuen voraussichtlichen Liefertermin in unserem System ermitteln können.",Lieferstatus,Lieferstatus,1
51,2024-01-24,Muss ich für die Wartung der DM-500 spezielles Tool haben? Also kein Standard? Bitte um Info.,"Hallo. Ja, für bestimmte Wartungsschritte an der DM-500 ist die Verwendung von Spezialwerkzeug erforderlich, um Schäden an den Komponenten zu vermeiden. Bitte nennen Sie uns die Seriennummer Ihrer Maschine, damit wir Ihnen die benötigten Artikelnummern der Werkzeuge nennen können.",Wartung,Wartung,1
52,2024-01-25,SCS-100 Software macht Probleme. Update nicht möglich. Hilfe!,"Hallo. Dass das Update für die SCS-100 fehlschlägt, kann verschiedene Ursachen haben. Bitte teilen Sie uns die Seriennummer des Geräts und die genaue Fehlermeldung mit, die während des Update-Vorgangs angezeigt wird.",Software-Problem,Software-Problem,1
53,2024-01-25,Was für Spezialwerkzeug wird für die CNCF-500 benötigt? Wir wollen den Service selbst machen.,"Guten Tag. Für die Durchführung der Wartung an der CNCF-500 ist die Verwendung von Original-Spezialwerkzeug vorgesehen. Bitte nennen Sie uns die Seriennummer Ihrer Maschine, damit wir Ihnen eine Liste der erforderlichen Artikelnummern für Ihren Eigenbedarf erstellen können.",Wartung,Wartung,0.9
54,2024-01-25,SCS-100 hat Defekt. Bitte um Rückmeldung zum Prozess.,"Guten Tag. Um Ihnen den Prozess für eine Reklamation erläutern zu können, benötigen wir vorab Details zum Gerät. Bitte nennen Sie uns die Seriennummer der SCS-100 sowie eine kurze Beschreibung des Defekts. Erst nach dieser Identifikation können wir den Garantiestatus prüfen.",Garantie-Reklamation,Garantie-Reklamation,0.7
55,2024-01-25,Schulung Termin für DM-500 (Bestellnr 4452-X) am 12.05. möglich?,"Guten Tag. Wir prüfen gerne die Verfügbarkeit unserer Techniker für den 12.05. Bitte lassen Sie uns noch die Seriennummer der DM-500 zukommen, damit wir die technische Vorbereitung für diesen Termin sicherstellen können.",Schulung,Schulung,1
56,2024-01-26,Ersatzteil für SNU-200. Preis?,"Guten Tag, für eine Preisauskunft benötigen wir bitte die genaue Bezeichnung des Ersatzteils sowie die Seriennummer Ihrer SNU-200. Sobald uns diese Informationen vorliegen, erstellen wir Ihnen gerne ein Angebot.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
57,2024-01-26,"Guten Tag, wir haben ein Problem mit der SNU-200. Ein Sensor scheint defekt zu sein. Bitte schicken Sie uns ein Angebot für den Ersatz. Details siehe Anhang.","Guten Tag. Leider konnte der Anhang Ihrer Nachricht nicht korrekt geladen werden. Damit wir das passende Ersatzteil für Ihre SNU-200 auswählen können, senden Sie uns bitte die Artikelnummer des Sensors oder die Seriennummer der Maschine erneut zu. Vielen Dank.",Ersatzteil-Anfrage,Ersatzteil-Anfrage,1
58,2024-01-26,"Guten Tag, ich wollte gerade das neue Software-Update für unsere SNU-200 aufspielen, aber die Installation bricht nach 15% immer wieder ab. Was ist da los? Artikelnummer 88-432-X.","Guten Tag. Dass das Update der SNU-200 vorzeitig abbricht, ist unüblich. Bitte stellen Sie sicher, dass während des Vorgangs keine anderen Prozesse im Hintergrund laufen und ausreichend Speicherplatz auf dem System vorhanden ist. Sollte der Fehler weiterhin bestehen, senden Sie uns bitte ein Logfile des Installationsversuchs zu.",Software-Problem,Software-Problem,1
59,2024-01-26,"Moin, wir brauchen ne neue Rechnungsadr für die DM-500 Maschine. Die alte stimmt nimmer.","Moin, um die Rechnungsadresse für Ihre DM-500 anzupassen, benötigen wir bitte die dazugehörige Seriennummer der Maschine sowie die aktuelle Rechnungsnummer. Sobald uns diese Daten vorliegen, leiten wir die Änderung intern weiter.",Sonstiges,Sonstiges,1
60,2024-02-01,Lieferstatus für CNCF-500 (Seriennummer: CNCF-500-99281) bitte. Bisher nichts gehört.,"Guten Tag, vielen Dank für die Bereitstellung der Seriennummer. Wir haben den Status der CNCF-500-99281 geprüft: Die Maschine wurde bereits verladen. Sie sollten die Versandbestätigung in Kürze erhalten. Bitte prüfen Sie gegebenenfalls auch Ihren Spam-Ordner.",Lieferstatus,Lieferstatus,1
61,2024-02-01,"Sehr geehrte Damen und Herren, wir haben seit heute Morgen massive Probleme mit unserer DM-500. Jedes Mal, wenn wir versuchen, eine DXF-Datei einzuspielen, friert das gesamte System ein. Das blockiert unsere Produktion. Bitte um schnelle Hilfe!","Guten Tag, das ist ärgerlich und wir verstehen die Dringlichkeit. Damit wir die Ursache eingrenzen können, benötigen wir bitte die genaue Softwareversion sowie die Fehlermeldung (idealerweise ein Foto des Bildschirms). Bitte prüfen Sie vorab, ob die DXF-Datei in einer älteren Version gespeichert wurde, da dies oft zu Konflikten führt. Wir warten auf Ihre Rückmeldung.",Software-Problem,Software-Problem,0.95
